Library,Protocol,Messages Sent,Payload Length,Pub Delay,Pub Interval,Num Subscribers,Messages Received,Total Time,Throughput,Payload Throughput,Min Latency,Avg Latency,P90 Latency,P99 Latency,Max Latency,Mean Jitter,Median CPU,Median MEM
zeromq,ipc,5000,1000,1000,0,1,5000.0,0.27851,17953.3742,17.95338,15104.0,22596.25,23104.0,31872.0,779072.0,985.5,25.4125,0.0026
nanomsg,ipc,5000,1000,1000,0,1,5000.0,0.277,18050.6829,18.05068,11648.0,13893.75,14848.0,16768.0,60672.0,402.75,20.725,0.00222
nng,ipc,5000,1000,1000,0,1,5000.0,0.28592,17487.5215,17.48752,18240.0,27652.75,32768.0,43968.0,496960.0,3426.25,37.1375,0.0033
zeromq,ipc,5000,2000,1000,0,1,5000.0,0.27777,18000.29307,36.00059,18560.0,22206.25,23616.0,26688.0,313024.0,555.75,25.225,0.00255
nanomsg,ipc,5000,2000,1000,0,1,5000.0,0.27774,18002.64125,36.00528,13376.0,14363.25,15552.0,16832.0,51904.0,239.5,17.4375,0.00221
nng,ipc,5000,2000,1000,0,1,5000.0,0.28892,17306.11429,34.61223,18112.0,28453.0,34624.0,44608.0,396480.0,3990.75,34.775,0.00326
zeromq,ipc,5000,4000,1000,0,1,5000.0,0.27788,17993.41335,71.97365,19264.0,23698.5,25536.0,28992.0,208512.0,735.25,30.4,0.00252
nanomsg,ipc,5000,4000,1000,0,1,5000.0,0.27777,18000.4148,72.00166,15040.0,16676.0,17920.0,19584.0,150848.0,495.25,19.9,0.00212
nng,ipc,5000,4000,1000,0,1,5000.0,0.2903,17223.66599,68.89467,19840.0,28634.0,32704.0,42112.0,309888.0,2752.5,34.8875,0.00329
zeromq,ipc,5000,8000,1000,0,1,5000.0,0.278,17985.87159,143.88697,21440.0,26018.25,28032.0,35776.0,229632.0,1000.75,29.625,0.00271
nanomsg,ipc,5000,8000,1000,0,1,5000.0,0.27777,18000.54659,144.00437,15936.0,17944.75,19328.0,21184.0,179904.0,577.5,22.525,0.00216
nng,ipc,5000,8000,1000,0,1,5000.0,0.28687,17429.40506,139.43524,19392.0,28793.5,33408.0,44800.0,300416.0,2502.25,38.2875,0.00352
zeromq,ipc,5000,16000,1000,0,1,5000.0,0.27914,17912.56027,286.60096,23040.0,31024.25,33984.0,45440.0,269248.0,2144.25,35.1875,0.00283
nanomsg,ipc,5000,16000,1000,0,1,5000.0,0.28169,17749.99316,283.99989,16832.0,21706.75,23680.0,32768.0,258176.0,1589.25,31.65,0.00233
nng,ipc,5000,16000,1000,0,1,5000.0,0.29479,16961.1814,271.3789,22400.0,28639.75,30976.0,41152.0,400448.0,1101.75,35.9125,0.0037
zeromq,ipc,5000,32000,1000,0,1,5000.0,0.29385,17015.57944,544.49854,31104.0,33823.25,36480.0,43136.0,156864.0,1225.5,42.975,0.00289
nanomsg,ipc,5000,32000,1000,0,1,5000.0,0.29499,16949.77888,542.39292,22272.0,26350.5,28864.0,36544.0,212992.0,1462.5,30.6625,0.00244
nng,ipc,5000,32000,1000,0,1,5000.0,0.30634,16321.53171,522.28901,26368.0,35473.0,41216.0,54336.0,516032.0,2840.25,62.2,0.00479
zeromq,ipc,5000,64000,1000,0,1,5000.0,0.31159,16046.8179,1026.99635,39552.0,46347.75,49536.0,61952.0,270016.0,1448.0,99.6,0.00338
nanomsg,ipc,5000,64000,1000,0,1,5000.0,0.33316,15007.76265,960.49681,31680.0,34514.5,36416.0,39808.0,180864.0,750.5,64.775,0.00276
nng,ipc,5000,64000,1000,0,1,5000.0,0.3388,14759.49844,944.6079,34752.0,44268.5,48960.0,63488.0,448320.0,2486.5,79.525,0.00561
zeromq,ipc,5000,128000,1000,0,1,5000.0,0.34983,14292.59012,1829.45154,53888.0,66630.75,74944.0,133504.0,567040.0,3717.0,126.85,0.00386
nanomsg,ipc,5000,128000,1000,0,1,4996.5,0.38626,12935.59573,1655.75625,46464.0,50793.0,54016.0,70592.0,550784.0,1542.5,79.6875,0.00307
nng,ipc,5000,128000,1000,0,1,5000.0,0.50506,10202.8188,1305.96081,56192.0,82092.5,96064.0,135232.0,399552.0,7496.0,100.75,0.00807
zeromq,ipc,5000,256000,1000,0,1,5000.0,0.47367,10560.25029,2703.42407,76544.0,133380.5,167360.0,275264.0,1151168.0,21836.0,153.075,0.00547
nanomsg,ipc,5000,256000,1000,0,1,4999.0,1.13003,4424.69669,1132.72235,168832.0,191096.0,197696.0,223552.0,620864.0,5384.25,107.125,0.00376
nng,ipc,5000,256000,1000,0,1,5000.0,0.59692,8376.36758,2144.3501,83136.0,133478.25,191872.0,362240.0,884352.0,24032.0,139.05,0.01309
zeromq,ipc,5000,512000,1000,0,1,5000.0,0.89473,5633.43705,2884.31977,154432.0,263773.25,345600.0,628992.0,1452864.0,83486.0,156.85,0.0085
nanomsg,ipc,5000,512000,1000,0,1,4993.75,2.21604,2253.47137,1153.77734,141824.0,416729.25,461824.0,635584.0,1178368.0,32532.25,118.35,0.00496
nng,ipc,5000,512000,1000,0,1,4999.0,1.29729,3853.44645,1972.96458,163328.0,465325.5,693312.0,1805760.0,2464064.0,127809.25,146.6125,0.02685
zeromq,ipc,5000,1000,1000,200,1,5000.0,1.25013,3999.59913,3.9996,19584.0,24817.25,25280.0,27776.0,592704.0,1082.75,17.45,0.0026
nanomsg,ipc,5000,1000,1000,200,1,5000.0,1.25012,3999.62307,3.99962,13248.0,15943.0,16192.0,16960.0,152320.0,425.25,14.9625,0.0022
nng,ipc,5000,1000,1000,200,1,5000.0,1.25058,3998.12637,3.99812,18240.0,25200.0,25728.0,35392.0,234176.0,1078.25,22.4,0.00318
zeromq,ipc,5000,2000,1000,200,1,5000.0,1.25006,3999.80332,7.99961,21120.0,25454.75,26176.0,27840.0,437888.0,980.0,12.475,0.00265
nanomsg,ipc,5000,2000,1000,200,1,5000.0,1.25005,3999.84077,7.99968,13120.0,16914.0,17152.0,17856.0,114560.0,446.25,13.7375,0.00223
nng,ipc,5000,2000,1000,200,1,5000.0,1.25104,3996.66701,7.99333,19776.0,25603.25,26048.0,35776.0,245056.0,1299.5,16.1625,0.00331
zeromq,ipc,5000,4000,1000,200,1,5000.0,1.2501,3999.67338,15.99869,19328.0,23597.25,24320.0,28544.0,184768.0,973.75,17.425,0.00269
nanomsg,ipc,5000,4000,1000,200,1,5000.0,1.25039,3998.76138,15.99505,14272.0,18794.0,19264.0,22912.0,322816.0,957.25,14.95,0.0022
nng,ipc,5000,4000,1000,200,1,5000.0,1.25232,3992.61085,15.97044,20096.0,26165.25,27584.0,36096.0,248576.0,1373.75,10.0,0.00328
zeromq,ipc,5000,8000,1000,200,1,5000.0,1.25013,3999.59991,31.9968,21248.0,25375.5,26176.0,29440.0,270400.0,990.75,17.475,0.00265
nanomsg,ipc,5000,8000,1000,200,1,5000.0,1.25033,3998.96206,31.9917,14656.0,17883.25,18304.0,21312.0,581952.0,829.5,10.0,0.00235
